"","OLS MSE","Random Forest MSE","Gradient Boosting MSE"
"5",0.0778315409440573,0.0815499656808442,0.0752472414643135
"6",0.0759782099396578,0.0796159765981387,0.0753435180546869
"7",0.0743334406331733,0.0765392953939244,0.069353027751929
"8",0.0788080722173006,0.0830778865218643,0.0760709509253482
"9",0.0950385543018478,0.0997058462748925,0.0942624294631911
"10",0.0835430425714114,0.0880401393348502,0.0815131114421907
"11",0.06996996686957,0.0751457399801239,0.0693877066475426
"12",0.0766209004016661,0.0768476712940244,0.0739287075086611
"13",0.080288892619125,0.0847877744683032,0.0790327043100488
"14",0.0791131103020585,0.0818268056318357,0.0779550450126527
"15",0.0726056225694858,0.0779808723221238,0.0727118780489441
"16",0.0662137193302502,0.0711553222305778,0.0641004193887412
"17",0.0803783533461723,0.0783557967360299,0.0771605276798432
"18",0.0749862978537802,0.081033224905284,0.0748742001367187
"19",0.072795982712192,0.079266234039365,0.0722847443934067
"20",0.0811118731114339,0.0840836193626826,0.0791671227424113
"21",0.0856067611434534,0.0879101145185232,0.0830587846659841
"22",0.071208417763916,0.0735763821305222,0.0680499236421617
"23",0.0798038010374035,0.085670752119589,0.078581983601042
"24",0.0692490151793697,0.0750969888943395,0.0682287942457068
"25",0.0737407951805892,0.076607730608653,0.0703416086217709
"26",0.0772555409103629,0.0797070563375201,0.0745347229999768
"27",0.0820659024494769,0.0861880967744972,0.080940494441503
"28",0.0738615728327987,0.07505785616693,0.0726623035132652
"29",0.0864876191815515,0.088212934430527,0.0847859370656188
"30",0.0813084874875294,0.0851052313003107,0.0784529631173232
"31",0.0753170174735926,0.0829471082671939,0.0751649047156196
"32",0.0625823396888192,0.0708518734956781,0.0625131176897664
"33",0.0748149082563058,0.0752985045799455,0.0720182450290114
"34",0.0890916028378531,0.0890625237840647,0.0858442917205572
"35",0.0759363916886699,0.0811642072354644,0.0750880472043219
"36",0.0705472631080625,0.0717958818988523,0.0677915385587379
"37",0.0729656740083082,0.0787459280858765,0.0714477313863193
"38",0.0697828399223442,0.072537896424142,0.068679576907696
"39",0.0873489245217477,0.0915188628139651,0.0862788320456577
"40",0.0818234259101498,0.0815721632784095,0.0774810654624931
"41",0.0741117559351126,0.0801014220432406,0.0730057419767098
