"","OLS MSE","Random Forest MSE","Gradient Boosting MSE"
"1",0.0735988284974291,0.0753935338975566,0.0727732344294826
"2",0.0778341853255433,0.0780696683856046,0.0759818165461608
"3",0.0832612231675853,0.0826296689545906,0.0815318140995481
"4",0.086914237427803,0.0869659481374228,0.08613163846646
"5",0.0690863076038061,0.068617914717255,0.0682537061663696
"6",0.0852109258190873,0.0843010413424707,0.0800991029245165
"7",0.0759638341524725,0.0782287809612947,0.0767829397508501
"8",0.0868817910533553,0.0906113010189001,0.0879719753276323
"9",0.0801658941366253,0.0796765852057844,0.0776717820483441
"10",0.0758182276202983,0.0739529297298701,0.0735144246339856
"11",0.0754245185095326,0.0766329991495474,0.0762912059692981
"12",0.0776067109553212,0.0771133804071621,0.0751616083681931
"13",0.0789157004490483,0.0747264893115626,0.0743825883867182
"14",0.0747062392730907,0.0760106752983336,0.0735512489697885
"15",0.0853255476545165,0.0854985509459313,0.0839988773717851
"16",0.0700759192731746,0.0746191652875093,0.0717481315941869
"17",0.0772316398754035,0.0761785093902986,0.0736522507130486
"18",0.0797636598046788,0.08141710887195,0.0783617577820689
"19",0.0846187128539705,0.0836152521431669,0.0828948668646181
"20",0.0875959864886233,0.0884072321846146,0.0864485471516715
"21",0.0721093560613163,0.0741616058129848,0.0715589680099196
"22",0.0882587244213445,0.0859447353228441,0.0847626543269494
"23",0.0743285152868255,0.0749216189493971,0.0726209000220487
"24",0.0868826763535983,0.0884593004238529,0.0849910535499267
"25",0.0848996752745156,0.0848625713286699,0.084011503559914
"26",0.0839789429433358,0.0833768923333846,0.0819744263271246
"27",0.0856765952591456,0.0877769241809867,0.0843059782874719
"28",0.0823784639333581,0.0790561511776461,0.0802521030924362
"29",0.0806087064973655,0.0786487372486476,0.0779800669364466
"30",0.0704358887562498,0.0709603200591077,0.0679612908308552
"31",0.0795935559583717,0.0792315353762277,0.0772936113103156
"32",0.0848591677880987,0.0879282292565648,0.0854814482123877
"33",0.0733552670209209,0.0756514534805646,0.0730792535028671
"34",0.0776313976566762,0.0787287539152525,0.0781061867815576
"35",0.0812537969849128,0.0823113205196905,0.0793642131856363
"36",0.0730067434063493,0.0741365338862299,0.0720681648229695
"37",0.0726480327807986,0.0717860688623281,0.0707778270804918
"38",0.0841954148547815,0.0838365398229935,0.0814744605137452
"39",0.0872277158092051,0.087476266525423,0.0853521520943855
"40",0.081725394655358,0.0869651456776714,0.0852698517887962
"41",0.0801484087858263,0.0801145308454065,0.0776549220991707
"42",0.083783157748003,0.0850095978080405,0.0816206893148477
"43",0.0709941528629753,0.0732093776539492,0.0694712949948365
"44",0.085222340569924,0.0869130829717235,0.0845551323859645
"45",0.0756227431803122,0.0733362262961746,0.0746312903205084
"46",0.0756615162063122,0.0774434525162756,0.0737467409780956
"47",0.0825159488754555,0.0810368574818612,0.0800657324185911
"48",0.0799796910587696,0.0817917471113498,0.081230988573997
"49",0.0836497788363816,0.0866743838014304,0.0836824792104958
"50",0.086654393533144,0.0881152615684057,0.0855689625072902
"51",0.0867375685531117,0.0870011248866141,0.085114266644233
"52",0.0791774011613143,0.0810133091325946,0.0799881340513821
"53",0.0787514999542834,0.0802572980157746,0.0772142017538792
"54",0.0695939401118809,0.0697467163253845,0.0694426718349724
"55",0.0866908666245873,0.0888314817701911,0.0856997459451898
"56",0.0757196145807637,0.0776750566896768,0.0765525063857253
