"","Logistic Regression Accuracy","Random Forest Accuracy","SVM Accuracy","Gradient Boosting Accuracy","KNN Accuracy"
"1",0.746753246753247,0.792207792207792,0.772727272727273,0.792207792207792,0.733766233766234
"2",0.746753246753247,0.75974025974026,0.785714285714286,0.766233766233766,0.681818181818182
"3",0.766233766233766,0.766233766233766,0.792207792207792,0.766233766233766,0.701298701298701
"4",0.785714285714286,0.805194805194805,0.811688311688312,0.798701298701299,0.733766233766234
"5",0.772727272727273,0.753246753246753,0.766233766233766,0.753246753246753,0.701298701298701
"6",0.753246753246753,0.727272727272727,0.75974025974026,0.74025974025974,0.766233766233766
"7",0.753246753246753,0.753246753246753,0.792207792207792,0.746753246753247,0.720779220779221
"8",0.733766233766234,0.746753246753247,0.753246753246753,0.733766233766234,0.668831168831169
"9",0.681818181818182,0.727272727272727,0.707792207792208,0.707792207792208,0.701298701298701
"10",0.766233766233766,0.772727272727273,0.727272727272727,0.753246753246753,0.733766233766234
"11",0.74025974025974,0.772727272727273,0.746753246753247,0.779220779220779,0.733766233766234
"12",0.727272727272727,0.74025974025974,0.733766233766234,0.720779220779221,0.707792207792208
"13",0.727272727272727,0.772727272727273,0.74025974025974,0.75974025974026,0.727272727272727
"14",0.753246753246753,0.74025974025974,0.720779220779221,0.74025974025974,0.727272727272727
"15",0.779220779220779,0.824675324675325,0.824675324675325,0.779220779220779,0.74025974025974
"16",0.772727272727273,0.785714285714286,0.805194805194805,0.779220779220779,0.720779220779221
"17",0.785714285714286,0.766233766233766,0.792207792207792,0.753246753246753,0.655844155844156
"18",0.766233766233766,0.75974025974026,0.772727272727273,0.766233766233766,0.675324675324675
"19",0.720779220779221,0.779220779220779,0.74025974025974,0.75974025974026,0.668831168831169
"20",0.75974025974026,0.733766233766234,0.75974025974026,0.766233766233766,0.714285714285714
"21",0.779220779220779,0.792207792207792,0.779220779220779,0.772727272727273,0.714285714285714
"22",0.785714285714286,0.753246753246753,0.772727272727273,0.772727272727273,0.662337662337662
"23",0.75974025974026,0.746753246753247,0.753246753246753,0.75974025974026,0.707792207792208
"24",0.733766233766234,0.720779220779221,0.701298701298701,0.714285714285714,0.688311688311688
"25",0.792207792207792,0.74025974025974,0.779220779220779,0.772727272727273,0.720779220779221
"26",0.766233766233766,0.753246753246753,0.746753246753247,0.733766233766234,0.785714285714286
"27",0.772727272727273,0.805194805194805,0.785714285714286,0.766233766233766,0.733766233766234
"28",0.805194805194805,0.772727272727273,0.805194805194805,0.779220779220779,0.746753246753247
"29",0.75974025974026,0.766233766233766,0.772727272727273,0.779220779220779,0.720779220779221
"30",0.792207792207792,0.772727272727273,0.818181818181818,0.779220779220779,0.701298701298701
"31",0.766233766233766,0.727272727272727,0.753246753246753,0.753246753246753,0.688311688311688
"32",0.766233766233766,0.818181818181818,0.785714285714286,0.772727272727273,0.662337662337662
"33",0.733766233766234,0.75974025974026,0.74025974025974,0.733766233766234,0.714285714285714
"34",0.753246753246753,0.818181818181818,0.779220779220779,0.792207792207792,0.74025974025974
"35",0.772727272727273,0.753246753246753,0.785714285714286,0.75974025974026,0.733766233766234
"36",0.779220779220779,0.798701298701299,0.746753246753247,0.753246753246753,0.727272727272727
"37",0.837662337662338,0.850649350649351,0.857142857142857,0.850649350649351,0.74025974025974
"38",0.74025974025974,0.766233766233766,0.75974025974026,0.746753246753247,0.766233766233766
"39",0.785714285714286,0.792207792207792,0.779220779220779,0.785714285714286,0.733766233766234
"40",0.701298701298701,0.733766233766234,0.720779220779221,0.733766233766234,0.720779220779221
"41",0.74025974025974,0.75974025974026,0.766233766233766,0.805194805194805,0.668831168831169
"42",0.779220779220779,0.74025974025974,0.733766233766234,0.753246753246753,0.701298701298701
"43",0.733766233766234,0.772727272727273,0.733766233766234,0.766233766233766,0.694805194805195
"44",0.75974025974026,0.75974025974026,0.75974025974026,0.746753246753247,0.668831168831169
"45",0.798701298701299,0.805194805194805,0.818181818181818,0.831168831168831,0.772727272727273
"46",0.805194805194805,0.837662337662338,0.798701298701299,0.805194805194805,0.75974025974026
"47",0.844155844155844,0.837662337662338,0.844155844155844,0.824675324675325,0.753246753246753
"48",0.714285714285714,0.714285714285714,0.766233766233766,0.746753246753247,0.701298701298701
"49",0.779220779220779,0.779220779220779,0.811688311688312,0.818181818181818,0.720779220779221
"50",0.694805194805195,0.701298701298701,0.688311688311688,0.694805194805195,0.701298701298701
"51",0.785714285714286,0.818181818181818,0.792207792207792,0.75974025974026,0.74025974025974
"52",0.753246753246753,0.785714285714286,0.772727272727273,0.785714285714286,0.727272727272727
"53",0.753246753246753,0.811688311688312,0.766233766233766,0.779220779220779,0.753246753246753
"54",0.746753246753247,0.785714285714286,0.785714285714286,0.753246753246753,0.701298701298701
"55",0.805194805194805,0.844155844155844,0.798701298701299,0.805194805194805,0.753246753246753
"56",0.75974025974026,0.753246753246753,0.766233766233766,0.746753246753247,0.714285714285714
"57",0.681818181818182,0.733766233766234,0.714285714285714,0.688311688311688,0.668831168831169
"58",0.766233766233766,0.74025974025974,0.779220779220779,0.772727272727273,0.701298701298701
"59",0.779220779220779,0.753246753246753,0.772727272727273,0.766233766233766,0.74025974025974
"60",0.831168831168831,0.818181818181818,0.772727272727273,0.798701298701299,0.733766233766234
"61",0.74025974025974,0.746753246753247,0.766233766233766,0.733766233766234,0.714285714285714
